=>> Grammar used: 
Grammar with 10 productions (start state = S)
    S -> S '+' R [0.4]
    S -> R [0.6]
    R -> T [0.6]
    R -> 'C' '*' F '(' T ')' [0.4]
    T -> T '*' V [0.4]
    T -> 'C' [0.6]
    F -> 'sqrt' [0.333333]
    F -> 'exp' [0.333333]
    F -> 'log' [0.333333]
    V -> 'x' [1.0]

ModelBox: 1025 models
-> C0*x, p = 0.091663294464, parse trees = 3, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**2) + C4*log(C5*x**2) + C6, p = 1.0833155400238833e-09, parse trees = 2, valid = False
-> C0*x**2 + C1*log(C2*x**4), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*x + C1*log(C2*x**6), p = 1.1324620800000003e-05, parse trees = 1, valid = False
-> C0*x**4 + C1*log(C2*x**3) + C3, p = 1.9931332608e-06, parse trees = 2, valid = False
-> C0*log(C1*x**5) + C2, p = 0.0002819578598837453, parse trees = 25, valid = False
-> C0*x**4 + C1*exp(C2*x**2), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*x**6 + C1*x**2, p = 4.076863488000001e-05, parse trees = 2, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x**3) + C4, p = 1.9226242945300565e-06, parse trees = 6, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*exp(C4*x**2), p = 2.3171080126464006e-06, parse trees = 2, valid = False
-> C0*x**8 + C1*x + C2, p = 1.4350559477760003e-06, parse trees = 2, valid = False
-> C0*x**5 + C1*sqrt(C2*x**2) + C3, p = 7.612812352290818e-07, parse trees = 6, valid = False
-> C0*x**2 + C1*sqrt(C2*x**3) + C3, p = 6.436518097368122e-05, parse trees = 17, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4*exp(C5*x**2) + C6, p = 4.402255579054081e-08, parse trees = 2, valid = False
-> C0*x**5 + C1*x + C2*sqrt(C3*x**2) + C4, p = 9.436376851091032e-08, parse trees = 2, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x**2) + C4*exp(C5*x**3) + C6, p = 3.0057899124326406e-09, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x**6) + C3, p = 1.9931332608000006e-06, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x**5), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**3) + C4, p = 1.5656342493383887e-05, parse trees = 11, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**3) + C4, p = 2.645832461451264e-05, parse trees = 10, valid = False
-> C0*x**4 + C1*sqrt(C2*x) + C3, p = 4.5267061411915455e-05, parse trees = 12, valid = False
-> C0*x + C1*exp(C2*x**5), p = 5.825384939520001e-05, parse trees = 3, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**2) + C4*log(C5*x**6) + C6, p = 2.6718132554956816e-10, parse trees = 1, valid = False
-> C0*x**3 + C1*x**2 + C2*sqrt(C3*x**2), p = 3.2614907904000006e-06, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4*log(C5*x**4) + C6, p = 2.8991029248e-08, parse trees = 1, valid = False
-> C0*x**5 + C1*exp(C2*x), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*x**2 + C1*log(C2*x**3) + C3, p = 4.971944701235037e-05, parse trees = 15, valid = False
-> C0*x**2 + C1*x + C2*log(C3*x**3) + C4, p = 9.016175770749371e-07, parse trees = 10, valid = False
-> C0*x**2 + C1*exp(C2*x**5) + C3, p = 8.223711320604673e-07, parse trees = 5, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x) + C4*exp(C5*x) + C6*log(C7*x) + C8, p = 3.462669979122402e-11, parse trees = 1, valid = False
-> C0*x**6 + C1*sqrt(C2*x) + C3*exp(C4*x) + C5, p = 9.277129359360004e-09, parse trees = 2, valid = False
-> C0*x**4 + C1*x**3 + C2, p = 4.1886204268275314e-05, parse trees = 14, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**2) + C4*log(C5*x) + C6, p = 4.026531840000001e-08, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x**2) + C4, p = 8.094365186103706e-05, parse trees = 17, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3*log(C4*x) + C5, p = 1.1670029405542305e-06, parse trees = 7, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**6), p = 3.2212254720000014e-08, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x**6), p = 2.6091926323200006e-07, parse trees = 1, valid = False
-> C0*x**4 + C1*log(C2*x) + C3*log(C4*x**3), p = 1.4495514624e-07, parse trees = 1, valid = False
-> C0*x**4 + C1*x + C2*sqrt(C3*x) + C4, p = 1.3163843028069817e-06, parse trees = 10, valid = False
-> C0*x**7 + C1, p = 0.00015948888263696062, parse trees = 14, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x) + C5*log(C6*x**2), p = 7.247757312e-08, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x) + C4*exp(C5*x**3) + C6*log(C7*x**2) + C8, p = 4.749890231992321e-12, parse trees = 1, valid = False
-> C0*x**3 + C1*exp(C2*x) + C3*log(C4*x), p = 4.529848320000001e-06, parse trees = 2, valid = False
-> C0*sqrt(C1*x**2) + C2*log(C3*x**2), p = 7.8844526592e-05, parse trees = 3, valid = False
-> C0*x**5 + C1*x**3, p = 4.0768634880000006e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*exp(C2*x**2) + C3, p = 3.9144195033661445e-05, parse trees = 14, valid = False
-> C0*x**4 + C1*x + C2*log(C3*x), p = 8.3885543129088e-06, parse trees = 3, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**3), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x**5) + C5, p = 4.710299896908665e-09, parse trees = 3, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x) + C4*log(C5*x) + C6, p = 1.1518552875655496e-07, parse trees = 3, valid = False
-> C0*sqrt(C1*x**2) + C2*log(C3*x**3) + C4, p = 5.830418104320001e-06, parse trees = 7, valid = False
-> C0*x**4 + C1*x**3 + C2*log(C3*x**2) + C4, p = 4.592179032883201e-08, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*log(C4*x**2), p = 4.529848320000001e-06, parse trees = 2, valid = False
-> C0*sqrt(C1*x**9), p = 1.2582912000000006e-05, parse trees = 1, valid = False
-> C0*x**4 + C1*exp(C2*x) + C3*log(C4*x), p = 1.8119393280000001e-06, parse trees = 2, valid = False
-> C0*log(C1*x**2) + C2*log(C3*x**3), p = 3.1457280000000007e-05, parse trees = 2, valid = False
-> C0*x**8 + C1, p = 4.953842122752001e-05, parse trees = 6, valid = False
-> C0*x**4 + C1*x**2 + C2*x, p = 2.9353417113600002e-05, parse trees = 4, valid = False
-> C0*x**6 + C1*log(C2*x) + C3, p = 7.247757312000002e-07, parse trees = 2, valid = False
-> C0*sqrt(C1*x**2) + C2*log(C3*x**2) + C4, p = 1.546200335217674e-05, parse trees = 9, valid = False
-> C0*x**3 + C1*x + C2*log(C3*x) + C4, p = 5.1719931388593345e-06, parse trees = 14, valid = False
-> C0*sqrt(C1*x**2) + C2*log(C3*x), p = 0.000196608, parse trees = 2, valid = False
-> C0*x**4 + C1*x**2 + C2*exp(C3*x**4) + C4, p = 1.5028949562163203e-08, parse trees = 1, valid = False
-> C0*log(C1*x**7) + C2, p = 2.589059973120001e-05, parse trees = 5, valid = False
-> C0*exp(C1*x**4) + C2*log(C3*x**2) + C4, p = 1.8119393280000005e-06, parse trees = 2, valid = False
-> C0*x**2 + C1*exp(C2*x**5), p = 1.1324620800000003e-05, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**3) + C4*log(C5*x), p = 2.0132659200000002e-07, parse trees = 1, valid = False
-> C0*exp(C1*x**7) + C2, p = 1.4203591065600006e-05, parse trees = 3, valid = False
-> C0*x**3 + C1*log(C2*x**4) + C3, p = 3.5485019799552012e-06, parse trees = 4, valid = False
-> C0*x**6 + C1*log(C2*x**2) + C3, p = 1.4495514624000005e-07, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x**2) + C3*log(C4*x**2) + C5, p = 6.011579824865282e-10, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**3), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x) + C4*log(C5*x) + C6, p = 4.8047838957934504e-08, parse trees = 3, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x) + C4*exp(C5*x**2) + C6, p = 1.9175737733828444e-08, parse trees = 3, valid = False
-> C0*sqrt(C1*x**7), p = 7.864320000000001e-05, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*exp(C3*x**5) + C4, p = 9.247564665384781e-07, parse trees = 3, valid = False
-> C0*sqrt(C1*x**4) + C2*exp(C3*x), p = 3.145728e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x + C2*exp(C3*x**2), p = 8.388554312908803e-06, parse trees = 3, valid = False
-> C0*x**3 + C1*sqrt(C2*x) + C3*log(C4*x), p = 4.558839349248e-06, parse trees = 3, valid = False
-> C0*x**7 + C1*x**3 + C2*x + C3*exp(C4*x) + C5*log(C6*x) + C7, p = 2.042365857765893e-14, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3*exp(C4*x**2) + C5, p = 3.284683613798401e-07, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x**2) + C5, p = 3.499645926211488e-07, parse trees = 6, valid = False
-> C0*x**4 + C1*log(C2*x**3), p = 1.1324620800000001e-05, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3*log(C4*x), p = 1.69869312e-05, parse trees = 3, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*sqrt(C4*x**2) + C5, p = 3.769848163564153e-07, parse trees = 5, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3*exp(C4*x**2), p = 4.529848320000001e-06, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**7), p = 1.0066329600000002e-06, parse trees = 1, valid = False
-> C0*x**2 + C1*sqrt(C2*x**2) + C3*exp(C4*x**2) + C5, p = 2.60919263232e-07, parse trees = 2, valid = False
-> C0*sqrt(C1*x**2) + C2*sqrt(C3*x**3) + C4, p = 2.0075965631692808e-06, parse trees = 8, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x**2), p = 3.13983718391808e-05, parse trees = 5, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x**2), p = 2.2678232629248e-05, parse trees = 5, valid = False
-> C0*x**6 + C1*x**2 + C2*x + C3*sqrt(C4*x) + C5, p = 6.232805962420324e-10, parse trees = 2, valid = False
-> C0*x**9, p = 5.662310400000002e-05, parse trees = 1, valid = False
-> C0*x**3 + C1*x**2 + C2*log(C3*x) + C4, p = 1.3045963161600003e-07, parse trees = 1, valid = False
-> C0*log(C1*x) + C2*log(C3*x**5), p = 1.2582912e-05, parse trees = 2, valid = False
-> C0*exp(C1*x**2) + C2*log(C3*x**3), p = 3.1457280000000007e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x + C2*exp(C3*x) + C4, p = 3.3595550863838045e-06, parse trees = 8, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*exp(C4*x) + C5*log(C6*x**3) + C7, p = 1.1874725579980805e-11, parse trees = 1, valid = False
-> C0*x**5 + C1*x**4 + C2*x**2 + C3*x + C4, p = 2.2438101464713155e-10, parse trees = 1, valid = False
-> C0*log(C1*x**2) + C2*log(C3*x**3) + C4, p = 4.558710500229121e-06, parse trees = 5, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**3) + C4, p = 1.4404406771240143e-05, parse trees = 8, valid = False
-> C0*x**2 + C1*x + C2*sqrt(C3*x), p = 0.00012886965485568, parse trees = 6, valid = False
-> C0*x**2 + C1*sqrt(C2*x**4), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*exp(C1*x**2) + C2*log(C3*x) + C4, p = 8.324227809253788e-05, parse trees = 14, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**6) + C4, p = 6.679533138739203e-10, parse trees = 1, valid = False
-> C0*x + C1*log(C2*x**5), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x**2) + C3*log(C4*x), p = 1.165076987904e-05, parse trees = 3, valid = False
-> C0*x**4 + C1*x**2 + C2*sqrt(C3*x) + C4, p = 5.434802138335151e-08, parse trees = 3, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*log(C4*x**2) + C5, p = 7.889409964140134e-07, parse trees = 6, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**2), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*sqrt(C1*x**3) + C2*exp(C3*x**4), p = 2.5165824000000007e-06, parse trees = 1, valid = False
-> C0*x**4 + C1*log(C2*x**2), p = 5.662310400000001e-05, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x**7) + C3*log(C4*x), p = 7.421703487488003e-10, parse trees = 1, valid = False
-> C0*x**6 + C1*x + C2*exp(C3*x) + C4, p = 6.232805962420325e-11, parse trees = 1, valid = False
-> C0*x**9 + C1*x**3, p = 5.218385264640002e-07, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*exp(C4*x) + C5, p = 2.713781921847549e-06, parse trees = 9, valid = False
-> C0*x**5 + C1*exp(C2*x) + C3, p = 1.0045914775467428e-05, parse trees = 8, valid = False
-> C0*x + C1*sqrt(C2*x**3) + C3*log(C4*x) + C5, p = 1.434429741544243e-07, parse trees = 6, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**4) + C4, p = 4.175107111293596e-09, parse trees = 2, valid = False
-> C0*x**4 + C1*x + C2*sqrt(C3*x**3) + C4, p = 3.101975189630485e-09, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x**2) + C3*log(C4*x**2) + C5, p = 2.8991029248000008e-08, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x) + C5, p = 1.2086513915532138e-05, parse trees = 23, valid = False
-> C0*x + C1*sqrt(C2*x**5) + C3, p = 1.0899466242822557e-05, parse trees = 8, valid = False
-> C0*sqrt(C1*x**4) + C2*log(C3*x**2), p = 1.2582912000000002e-05, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x**2) + C3*log(C4*x**3) + C5, p = 5.218385264640002e-08, parse trees = 1, valid = False
-> C0*x**8 + C1*exp(C2*x**2) + C3, p = 1.0687253021982726e-10, parse trees = 1, valid = False
-> C0*x**5 + C1*log(C2*x**3), p = 9.059696640000002e-06, parse trees = 2, valid = False
-> C0*x**6 + C1*x + C2*exp(C3*x) + C4*log(C5*x) + C6, p = 2.671813255495681e-10, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**4), p = 1.2582912000000002e-05, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**4) + C4, p = 8.127554519040002e-06, parse trees = 6, valid = False
-> C0*x**3 + C1*x + C2*exp(C3*x**2) + C4, p = 1.717808934955254e-07, parse trees = 3, valid = False
-> C0*x + C1*log(C2*x) + C3*log(C4*x**3), p = 6.794772480000001e-06, parse trees = 3, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x**2) + C5*log(C6*x**4) + C7, p = 1.2311715481324095e-12, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**4), p = 3.145728e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*sqrt(C2*x**2) + C3, p = 5.449106544094348e-05, parse trees = 17, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*exp(C4*x) + C5*log(C6*x) + C7, p = 3.76883380224e-08, parse trees = 3, valid = False
-> C0*x**2 + C1*sqrt(C2*x**3) + C3*exp(C4*x) + C5, p = 4.432217573276676e-13, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**4) + C4, p = 2.8407182131200005e-06, parse trees = 3, valid = False
-> C0*x**7 + C1*x + C2*sqrt(C3*x**2) + C4, p = 1.5389644351655122e-11, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*sqrt(C4*x**2) + C5, p = 4.5950781358080003e-07, parse trees = 7, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**2) + C4*log(C5*x), p = 1.2582912e-06, parse trees = 1, valid = False
-> C0*x**5 + C1*x**2 + C2*x + C3, p = 6.293423218332833e-07, parse trees = 8, valid = False
-> C0*x**3 + C1*sqrt(C2*x**2), p = 0.00014155776, parse trees = 2, valid = False
-> C0*x + C1*exp(C2*x**6), p = 1.1324620800000003e-05, parse trees = 1, valid = False
-> C0*x**3 + C1*log(C2*x**2) + C3, p = 4.239307472633858e-05, parse trees = 13, valid = False
-> C0*log(C1*x) + C2*log(C3*x**6) + C4, p = 1.7265768529920007e-07, parse trees = 3, valid = False
-> C0*x**2 + C1*log(C2*x**2), p = 0.0003589711640867636, parse trees = 5, valid = False
-> C0*x**4 + C1*x + C2*exp(C3*x**2) + C4*log(C5*x**2) + C6, p = 1.7728870293106702e-13, parse trees = 1, valid = False
-> C0*sqrt(C1*x**6), p = 0.00019660800000000005, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x**3) + C3*log(C4*x) + C5, p = 3.267502370224866e-07, parse trees = 2, valid = False
-> C0*exp(C1*x) + C2*log(C3*x) + C4*log(C5*x**2) + C6, p = 8.053063680000001e-08, parse trees = 2, valid = False
-> C0*exp(C1*x**3) + C2*log(C3*x), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*x**5 + C1*x**3 + C2*x + C3*sqrt(C4*x), p = 1.9237055439568903e-10, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**2) + C4, p = 3.2010928128000006e-05, parse trees = 13, valid = False
-> C0*sqrt(C1*x**4) + C2*exp(C3*x**2), p = 1.2582912000000002e-05, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**2) + C4*exp(C5*x), p = 1.2582912e-06, parse trees = 1, valid = False
-> C0*sqrt(C1*x**3) + C2*log(C3*x), p = 7.86432e-05, parse trees = 2, valid = False
-> C0*log(C1*x) + C2*log(C3*x**4), p = 3.145728e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x + C2*sqrt(C3*x**2), p = 1.2230590464000002e-05, parse trees = 3, valid = False
-> C0*x + C1*exp(C2*x) + C3*exp(C4*x**2) + C5*log(C6*x), p = 7.247757312e-08, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*log(C3*x**3) + C4, p = 2.7171036856320003e-05, parse trees = 13, valid = False
-> C0*x**3 + C1*sqrt(C2*x) + C3*exp(C4*x), p = 2.26492416e-06, parse trees = 1, valid = False
-> C0*sqrt(C1*x**3) + C2*log(C3*x) + C4*log(C5*x**3) + C6, p = 3.7108517437440017e-10, parse trees = 1, valid = False
-> C0*sqrt(C1*x**3) + C2*log(C3*x**3) + C4, p = 1.3047886867143961e-07, parse trees = 2, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*log(C4*x) + C5*log(C6*x**3) + C7, p = 3.710851743744001e-10, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x) + C3*exp(C4*x**3), p = 9.190156271616e-06, parse trees = 5, valid = False
-> C0*x**6 + C1*x**2 + C2, p = 6.060493044110298e-06, parse trees = 5, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x**4) + C5, p = 2.404631929946113e-10, parse trees = 1, valid = False
-> C0*x**2 + C1*x + C2*exp(C3*x**2) + C4*log(C5*x), p = 1.30459631616e-07, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x) + C3*log(C4*x**3) + C5, p = 6.62745615862302e-07, parse trees = 4, valid = False
-> C0*x**5 + C1*exp(C2*x**2), p = 2.2649241600000002e-05, parse trees = 2, valid = False
-> C0*x**7 + C1*x + C2, p = 1.0993342628065445e-06, parse trees = 5, valid = False
-> C0*x**3 + C1*x + C2*exp(C3*x**2) + C4*log(C5*x**4) + C6, p = 6.925339958244806e-11, parse trees = 1, valid = False
-> C0*x**2 + C1*sqrt(C2*x**4) + C3, p = 1.4201980452864001e-05, parse trees = 7, valid = False
-> C0*sqrt(C1*x**7) + C2*exp(C3*x) + C4, p = 1.0555311626649606e-12, parse trees = 1, valid = False
-> C0*x**3 + C1*x**2 + C2*x + C3*log(C4*x) + C5, p = 6.763029141102713e-08, parse trees = 3, valid = False
-> C0*x**4 + C1*sqrt(C2*x) + C3*exp(C4*x) + C5, p = 1.24545461649408e-07, parse trees = 5, valid = False
-> C0*x**4 + C1*exp(C2*x**2) + C3, p = 8.871341516637478e-06, parse trees = 5, valid = False
-> C0*x + C1*sqrt(C2*x**4), p = 0.00014971148697600002, parse trees = 4, valid = False
-> C0*x**4 + C1*sqrt(C2*x) + C3*log(C4*x) + C5, p = 1.3045963161599998e-07, parse trees = 1, valid = False
-> C0*x + C1*log(C2*x**4), p = 0.000145634623488, parse trees = 3, valid = False
-> C0*x**5 + C1*x**2 + C2*log(C3*x**4) + C4, p = 6.011579824865283e-09, parse trees = 1, valid = False
-> C0*sqrt(C1*x**6) + C2*log(C3*x**3) + C4, p = 5.7982058496000036e-08, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**2), p = 0.0001991245824, parse trees = 4, valid = False
-> C0*exp(C1*x**8), p = 3.145728000000001e-05, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x) + C3*log(C4*x**2), p = 9.059696640000002e-06, parse trees = 4, valid = False
-> C0*x**3 + C1*x**2 + C2*x + C3*sqrt(C4*x**3) + C5*exp(C6*x**4) + C7*log(C8*x) + C9, p = 3.9030219349985455e-18, parse trees = 1, valid = False
-> C0*sqrt(C1*x**5) + C2*log(C3*x) + C4, p = 1.1072962560000004e-06, parse trees = 2, valid = False
-> C0*x**5 + C1*sqrt(C2*x**5), p = 7.247757312000001e-07, parse trees = 1, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**2) + C4*log(C5*x**2), p = 5.0331648e-07, parse trees = 1, valid = False
-> C0*exp(C1*x) + C2*exp(C3*x**4) + C4, p = 3.344034693120001e-06, parse trees = 4, valid = False
-> C0*x**3 + C1*exp(C2*x**3) + C3, p = 1.0687368986099716e-05, parse trees = 7, valid = False
-> C0*x**5 + C1*x + C2*log(C3*x), p = 3.355421725163521e-06, parse trees = 3, valid = False
-> C0*x**3 + C1*x**2 + C2*exp(C3*x**3) + C4, p = 1.0516051778372978e-10, parse trees = 2, valid = False
-> C0*x**5 + C1*x**2 + C2*log(C3*x) + C4, p = 1.3526054605946882e-08, parse trees = 1, valid = False
-> C0*x**4 + C1*log(C2*x**4) + C3, p = 1.3985272509235202e-06, parse trees = 3, valid = False
-> C0*sqrt(C1*x**5) + C2*log(C3*x**2) + C4, p = 2.319282339840001e-08, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*log(C4*x), p = 2.8311552e-05, parse trees = 5, valid = False
-> C0*sqrt(C1*x**4) + C2*log(C3*x**2) + C4, p = 3.3271393655193604e-07, parse trees = 3, valid = False
-> C0*sqrt(C1*x**3) + C2*sqrt(C3*x**6) + C4*exp(C5*x) + C6, p = 7.599824371187718e-13, parse trees = 1, valid = False
-> C0*x**2 + C1*exp(C2*x**4), p = 2.8963850158080003e-05, parse trees = 2, valid = False
-> C0*x**6 + C1*exp(C2*x**2) + C3, p = 9.393093476352005e-08, parse trees = 1, valid = False
-> C0*exp(C1*x**2) + C2*exp(C3*x**4), p = 6.291456000000001e-06, parse trees = 1, valid = False
-> C0*x**3 + C1*sqrt(C2*x**2) + C3*log(C4*x) + C5, p = 1.347679304904868e-07, parse trees = 3, valid = False
-> C0*x + C1*log(C2*x**2) + C3*log(C4*x**6) + C5, p = 8.549802417586182e-12, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x**3) + C4, p = 4.763387166720001e-06, parse trees = 6, valid = False
-> C0*exp(C1*x) + C2*log(C3*x**4), p = 3.145728e-05, parse trees = 2, valid = False
-> C0*x**3 + C1*x**2 + C2*exp(C3*x) + C4, p = 9.784472371200002e-07, parse trees = 4, valid = False
-> C0*x**2 + C1*exp(C2*x**3) + C3*log(C4*x) + C5, p = 6.011579824865282e-10, parse trees = 1, valid = False
-> C0*x**4 + C1*x**2 + C2*x + C3, p = 3.249352916448145e-06, parse trees = 14, valid = False
-> C0*exp(C1*x**2) + C2*exp(C3*x**5) + C4, p = 5.218385264640001e-08, parse trees = 1, valid = False
-> C0*x + C1*exp(C2*x**2) + C3*log(C4*x**4) + C5, p = 3.7108517437440017e-10, parse trees = 1, valid = False
-> C0*x**4 + C1*x + C2*exp(C3*x), p = 1.2244116518605948e-05, parse trees = 4, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*exp(C4*x**4) + C5, p = 4.26127496119006e-09, parse trees = 2, valid = False
-> C0*log(C1*x**7), p = 7.864320000000001e-05, parse trees = 1, valid = False
-> C0*x**4 + C1*x + C2*sqrt(C3*x), p = 4.076863488e-06, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*log(C4*x) + C5*log(C6*x**2) + C7, p = 1.04395406652633e-08, parse trees = 2, valid = False
-> C0*sqrt(C1*x) + C2*sqrt(C3*x**5), p = 6.291456e-06, parse trees = 1, valid = False
-> C0*x**2 + C1*sqrt(C2*x) + C3*log(C4*x), p = 1.13246208e-05, parse trees = 2, valid = False
-> C0*x + C1*sqrt(C2*x**2) + C3*exp(C4*x**2) + C5, p = 3.5921345087347993e-07, parse trees = 6, valid = False
-> C0*x**7 + C1*x**2 + C2, p = 2.3521688728145135e-06, parse trees = 3, valid = False
-> C0*x**3 + C1*x**2 + C2*sqrt(C3*x**2) + C4, p = 4.6966021408956666e-07, parse trees = 3, valid = False
-> C0*exp(C1*x**4) + C2*log(C3*x) + C4, p = 4.548273729699841e-06, parse trees = 4, valid = False
-> C0*x + C1*log(C2*x) + C3*log(C4*x**4) + C5, p = 1.6698832846848002e-09, parse trees = 1, valid = False
-> C0*sqrt(C1*x**2) + C2*exp(C3*x), p = 0.000196608, parse trees = 2, valid = False
-> C0*x**3 + C1*sqrt(C2*x**4), p = 1.1324620800000004e-05, parse trees = 1, valid = False
-> C0*x + C1*sqrt(C2*x) + C3*exp(C4*x**4), p = 1.8119393280000005e-06, parse trees = 2, valid = False
-> C0*log(C1*x**2) + C2*log(C3*x**4) + C4, p = 1.1260824429527043e-06, parse trees = 3, valid = False
-> C0*exp(C1*x**2) + C2*log(C3*x**2) + C4, p = 2.024714606299054e-05, parse trees = 12, valid = False
-> C0*x + C1*exp(C2*x) + C3*exp(C4*x**2) + C5, p = 1.8312988994363997e-06, parse trees = 6, valid = False
-> C0*x + C1*log(C2*x**6) + C3, p = 2.650287253929277e-06, parse trees = 7, valid = False
-> C0*exp(C1*x**7), p = 7.864320000000001e-05, parse trees = 1, valid = False
-> C0*x**4 + C1*x + C2*exp(C3*x**3) + C4, p = 4.328429380366602e-10, parse trees = 2, valid = False
-> C0*x**6 + C1*sqrt(C2*x), p = 2.264924160000001e-05, parse trees = 2, valid = False
-> C0*x**4 + C1*x**3 + C2*log(C3*x) + C4, p = 9.39447854434365e-08, parse trees = 2, valid = False
